,Year,Intervals,Count
0,1955,<=25.4,55
1,1955,>25.4,61
2,1956,<=25.4,58
3,1956,>25.4,74
4,1957,<=25.4,58
5,1957,>25.4,83
6,1958,<=25.4,53
7,1958,>25.4,84
8,1959,<=25.4,69
9,1959,>25.4,63
10,1960,<=25.4,51
11,1960,>25.4,88
12,1961,<=25.4,71
13,1961,>25.4,85
14,1962,<=25.4,67
15,1962,>25.4,84
16,1963,<=25.4,79
17,1963,>25.4,79
18,1964,<=25.4,72
19,1964,>25.4,78
20,1965,<=25.4,64
21,1965,>25.4,104
22,1966,<=25.4,52
23,1966,>25.4,83
24,1967,<=25.4,62
25,1967,>25.4,81
26,1968,<=25.4,73
27,1968,>25.4,86
28,1969,<=25.4,59
29,1969,>25.4,90
30,1970,<=25.4,68
31,1970,>25.4,76
32,1971,<=25.4,70
33,1971,>25.4,93
34,1972,<=25.4,67
35,1972,>25.4,93
36,1973,<=25.4,84
37,1973,>25.4,95
38,1974,<=25.4,98
39,1974,>25.4,92
40,1975,<=25.4,74
41,1975,>25.4,95
42,1976,<=25.4,59
43,1976,>25.4,95
44,1977,<=25.4,59
45,1977,>25.4,119
46,1978,<=25.4,46
47,1978,>25.4,113
48,1979,<=25.4,67
49,1979,>25.4,114
50,1980,<=25.4,69
51,1980,>25.4,112
52,1981,<=25.4,62
53,1981,>25.4,109
54,1982,<=25.4,84
55,1982,>25.4,107
56,1983,<=25.4,84
57,1983,>25.4,118
58,1984,<=25.4,98
59,1984,>25.4,102
60,1985,<=25.4,102
61,1985,>25.4,80
62,1986,<=25.4,113
63,1986,>25.4,86
64,1987,<=25.4,123
65,1987,>25.4,69
66,1988,<=25.4,114
67,1988,>25.4,77
68,1989,<=25.4,114
69,1989,>25.4,69
70,1990,<=25.4,128
71,1990,>25.4,79
72,1991,<=25.4,127
73,1991,>25.4,78
74,1992,<=25.4,156
75,1992,>25.4,73
76,1993,<=25.4,144
77,1993,>25.4,79
78,1994,<=25.4,174
79,1994,>25.4,60
80,1995,<=25.4,177
81,1995,>25.4,61
82,1996,<=25.4,194
83,1996,>25.4,42
84,1997,<=25.4,201
85,1997,>25.4,39
86,1998,<=25.4,205
87,1998,>25.4,50
88,1999,<=25.4,203
89,1999,>25.4,38
90,2000,<=25.4,206
91,2000,>25.4,49
92,2001,<=25.4,200
93,2001,>25.4,40
94,2002,<=25.4,193
95,2002,>25.4,34
96,2003,<=25.4,182
97,2003,>25.4,43
98,2004,<=25.4,207
99,2004,>25.4,36
100,2005,<=25.4,214
101,2005,>25.4,38
102,2006,<=25.4,225
103,2006,>25.4,32
104,2007,<=25.4,207
105,2007,>25.4,34
106,2008,<=25.4,209
107,2008,>25.4,34
108,2009,<=25.4,202
109,2009,>25.4,31
110,2010,<=25.4,182
111,2010,>25.4,50
112,2011,<=25.4,194
113,2011,>25.4,37
114,2012,<=25.4,203
115,2012,>25.4,50
116,2013,<=25.4,175
117,2013,>25.4,46
118,2014,<=25.4,164
119,2014,>25.4,55
120,2015,<=25.4,166
121,2015,>25.4,43
122,2016,<=25.4,197
123,2016,>25.4,55
124,2017,<=25.4,181
125,2017,>25.4,60
126,2018,<=25.4,178
127,2018,>25.4,50
128,2019,<=25.4,192
129,2019,>25.4,47
130,2020,<=25.4,160
131,2020,>25.4,50
132,2021,<=25.4,174
133,2021,>25.4,57
